View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,Beginning Page
Storage ,2093,2339,2337,2197,1818,1532,1353,1167,1115,1146,1338,1704,2060,,,,,,,,,,,,,
Elevation (feet),,813,813,801,765,734,713,688,681,686,711,753,788,,,,,,,,,,,,,
Area (acres),,10915,11794,11794,11301,9862,8755,8032,7245,7025,7166,7967,9439,,,,,,,,,,,,,
Feather Minimum (cfs),,5500,1000,1000,5300,4800,4000,3500,1500,1500,1500,1500,1500,,,,,,,,,,,,,
Feather - Target (TAF),-cfs,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Actual Feather Release (TAF),-TAF,327,61,59,326,295,238,215,89,92,92,83,92,,,,,,,,,,,,,
Thermolito - Demand TAF,-Deliveries,73,180,181,189,146,52,89,131,96,35,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
Folsom,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,550,298,160,107,104,91,90,100,120,160,270,320,,,,,,,,,,,,,
Est. Evap.,,4.1,5.5,6.6,8.4,7.1,5.2,2.6,1.1,0.7,1.2,1.0,1.6,,,,,,,,,,,,,
Total Release,,549.7,168.9,205.2,268.6,207.5,162.2,135.3,128.3,130.4,130.4,215.7,253.6,,,,,,,,,,,,,
Pumping (FP),,12.5,12.5,13.75,15,18.6,9.9,10,7.5,6.25,6.25,6.25,6.25,,,,,,,,,,,,,
