View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,Beginning Page
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
New Melones,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,68,85,89,49,38,37,33,25,20,20,20,25,,,,,,,,,,,,,
Est. Evap.,,2.2,4.2,5.3,5.9,7.5,6.8,5.5,2.8,1.3,0.8,1.5,1.2,,,,,,,,,,,,,
Total Release,,57,173,176,132,115,90,69,57,12,12,14,13,,,,,,,,,,,,,
Tull. Stor.,,58.5,62.6,67.0,67.0,67.0,67.0,63.8,57.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,
Goodwin - cfs,,200,1537,1242,363,250,250,250,797,200,200,226,229,,,,,,,,,,,,,
Goodwin - TAF,,12,91,76,22,15,15,15,49,12,12,14,13,,,,,,,,,,,,,
OID/SSJID,,30,70,85,95,85,65,50,10,0,0,0,0,,,,,,,,,,,,,
CVP Contractors,,5,7,10,15,15,10,7,5,0,0,0,0,,,,,,,,,,,,,
Storage ,1920,1929,1837,1745,1656,1571,1511,1470,1435,1442,1449,1453,1464,,,,,,,,,,,,,
Elevation (feet),,1046,1037,1028,1019,1011,1004,1000,996,997,998,998,999,,,,,,,,,,,,,
Area (acres),,10809,10848,10503,10164,9829,9536,9282,9139,8997,9032,9068,9068,,,,,,,,,,,,,
S. J. above Stan - TAF,,86,57,60,31,33,28,34,59,62,63,63,70,,,,,,,,,,,,,
S. J. @ VNS. - cfs,,1599,2538,2243,884,787,705,822,1757,1242,1225,1251,1490,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
